email,dominio,nome,sobrenome,smtp_valido,empresa,tipo
carlos.silva@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
c.silva@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
carlos.s@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
c.s@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
carlos.silva1@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
c.silva1@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
silva.c@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
silva.carlos@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
carlos.silvas@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome
ana.souza@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
c.souza@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
ana.s@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
c.s@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
ana.souza1@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
c.souza1@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
souza.c@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
souza.ana@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
ana.souzas@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome
joão.pereira@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
c.pereira@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
joão.s@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
c.s@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
joão.pereira1@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
c.pereira1@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
pereira.c@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
pereira.joão@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
joão.pereiras@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome
