email,dominio,nome,sobrenome,smtp_valido,empresa,formato,tipo
carlos.silva@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
carlos@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
silva@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
c.silva@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
carlos.s@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
c.s@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
csilva@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
silvacarlos@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
carlos_silva@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
carlos-silva@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
carlos.silva1@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
carlos1@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
c.silva1@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
carlos99@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
carlossilva2024@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
c_silva@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
silva.c@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
silvac@vale.com,vale.com,carlos,silva,False,VALE S.A.,nome.sobrenome,
silva.carlos@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
carlos.silvas@vale.com,vale.com,carlos,silva,True,VALE S.A.,nome.sobrenome,
ana.souza@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
ana@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
souza@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
c.souza@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
ana.s@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
c.s@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
csilva@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
souzaana@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
ana_souza@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
ana-souza@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
ana.souza1@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
ana1@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
c.souza1@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
ana99@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
